,x,y,class
0,1.2777072950450172,5.250571971738379,1
1,2.1349021905278884,3.582704671756508,1
2,1.4052299437632194,4.845380861632028,1
3,1.6908631161932295,6.17541447058646,1
4,0.7813256897175767,4.255180661872092,1
5,1.5831072280049225,4.059789430185369,1
6,3.2406293431553435,4.66268799532614,1
7,-0.5258094142696366,4.507108615726627,1
8,0.23865504814715144,5.1142141239296945,1
9,2.636870071187429,4.10968076714504,1
10,2.532398083513972,1.9168782955742971,1
11,0.024870027654224414,3.6348410762814956,1
12,1.7895013524641172,4.8454769627129,1
13,2.2492690636830828,5.08715673700835,1
14,-0.7372985384850352,3.4361774889138506,1
15,0.8542115208901635,3.904558006016687,1
16,1.8831644023522613,1.0144746980427972,1
17,0.7491711282118281,4.412053407768453,1
18,2.1952039523731437,5.4249357510642024,1
19,0.9887266606228151,4.649281180203776,1
20,2.3659648659685053,5.169877436226659,1
21,2.106064600635663,2.337449843862271,1
22,2.002987688866103,2.5765953580493086,1
23,0.7543474476312948,4.737021944014579,1
24,2.697559060481809,4.919762724619175,1
25,2.956279468708682,4.108873568003728,1
26,1.6194820832441872,4.432747377420603,1
27,0.9966059766890445,1.8414775465960815,1
28,0.8659921274270683,3.362391822594655,1
29,-0.06506491790411939,3.8563709195036644,1
30,2.3329672076650336,5.905982860664516,1
31,3.35466057712567,3.541606406911684,1
32,0.25688347783473797,4.831780939410836,1
33,1.9739897033502152,5.19738235632492,1
34,2.19371395302011,4.499247334845316,1
35,2.639405022294099,4.185718732675665,1
36,2.4391193262780906,3.684030313551322,1
37,2.051368345327204,2.8408009892908925,1
38,1.4947462127850648,3.8492138104696116,1
39,2.1761710669672136,5.146967057970489,1
40,2.3011129658253435,3.3422401011409413,1
41,1.9043898385012867,3.4477220448674393,1
42,1.308022109338295,4.511549626622649,1
43,3.2610137442571068,5.266267135302132,1
44,1.2814312738477764,3.7138166000316364,1
45,1.8287621781459031,5.000360048480015,1
46,2.648657482796577,5.131068221599245,1
47,2.2329352012179062,5.848838917423454,1
48,2.4187827682535055,3.2840790242751727,1
49,3.3720992521110236,4.561037590113431,1
50,3.6726060060523578,4.506881123320486,1
51,2.157877086972978,2.095427185542274,1
52,0.40350341077654095,3.3637496322830533,1
53,2.7922288189528954,3.9507241944298137,1
54,3.281116614468576,4.496166846330022,1
55,1.1455119208765279,2.313154002913609,1
56,0.6618047240681815,4.46279857228284,1
57,0.5346651373454989,3.1260213313255614,1
58,2.5396273184932623,3.6684014956476876,1
59,1.607298246649407,5.029952951282028,1
60,2.746566969214492,4.32374974953688,1
61,2.2467095138303828,3.9142959280860325,1
62,0.9639385162637957,5.116965195043326,1
63,0.0762223059753866,4.28098041676822,1
64,2.1189844874346084,3.445447222331825,1
65,3.956453617767793,4.888861277467567,1
66,1.8924683689554715,5.934271835524088,1
67,2.243624611271629,4.800850370850885,1
68,0.4909543767369715,4.077957773129314,1
69,2.35741327333567,6.803303950437709,1
70,3.49269978951986,4.08550543976211,1
71,1.9419668105031933,5.6514089138236425,1
72,1.0729376112083773,4.660076705856916,1
73,1.7304030809380946,4.5729334396441,1
74,3.0623063203215555,3.884853113314017,1
75,1.9691684374797094,3.715087310779937,1
76,1.2066714790421353,3.1665369285358858,1
77,1.2524590298610212,4.021202086202169,1
78,2.6885842354084812,4.166308092858529,1
79,0.8411337530034488,3.477156543850379,1
80,0.6490032054509582,2.4201855598237954,1
81,1.4333153806275756,3.170373258543615,1
82,2.3481282710328837,1.0726823223282005,1
83,1.128887494988141,4.125725180924852,1
84,1.2175509746054423,4.866769797978706,1
85,2.6963033541172603,2.4307826346672927,1
86,3.043889295927818,2.3479397767921206,1
87,0.21760407645282887,2.6437554436229305,1
88,1.2205403969477415,3.7678265520611456,1
89,2.7783992948103835,5.470266444941598,1
90,1.6369751020004661,5.221515426322566,1
91,2.114579686010004,4.471941613138595,1
